id_instrumento,produto,lado,tipo_taxa,moeda,prazo_anos,nocional,taxa_cupom
I0001,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,1089894.2217555002,0.1181456342729085
I0002,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,1861214.4465862855,0.1502228283185196
I0003,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1878617.9105836467,0.1671059316176901
I0004,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,2025645.844889686,0.1370233929111137
I0005,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1734173.7780626384,0.1036769345515796
I0006,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,1771400.80328649,0.1202986675716084
I0007,Credito_Prefixado,Ativo,Prefixada,BRL,20.0,1560354.894247862,0.1691981702059679
I0008,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,2445593.2233785978,0.0875990882749622
I0009,Credito_Prefixado,Ativo,Prefixada,USD,15.0,2124036.0909948903,0.1107205319383646
I0010,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1150175.1627459351,0.1114188761328865
I0011,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1934720.233643132,0.1067160803540513
I0012,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1700868.8916993255,0.145906365231935
I0013,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,1365933.6955800308,0.0773022352693945
I0014,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2174179.18143498,0.1048889670865855
I0015,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,1811067.161374228,0.0923953694588542
I0016,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,2426171.5140655325,0.0835485141877838
I0017,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,1475151.8728602554,0.1329742471640524
I0018,Credito_Prefixado,Ativo,Prefixada,USD,10.0,1424844.112731148,0.0536864095884024
I0019,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,2215752.919472837,0.1414939561293122
I0020,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,1267878.3849502334,0.0976779236124454
I0021,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,2461975.9953121115,0.1193047966729167
I0022,Credito_Prefixado,Ativo,Prefixada,USD,7.0,1462466.6063747806,0.1152241129623485
I0023,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1359018.8357697057,0.1030402264233073
I0024,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,1394073.548258907,0.0922451783265833
I0025,Credito_Prefixado,Ativo,Prefixada,USD,0.5,1189163.9867233525,0.0716457519719571
I0026,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,1853209.9982990911,0.1212517083981174
I0027,Credito_Prefixado,Ativo,Prefixada,USD,20.0,2451687.425889082,0.0738602266929126
I0028,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,1983442.7871880943,0.0859662321526197
I0029,Credito_Prefixado,Ativo,Prefixada,BRL,20.0,1801437.5020891249,0.0947276690340966
I0030,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1638103.71275011,0.1531099461226429
I0031,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1188739.869699343,0.1148367170565488
I0032,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1225704.4494986583,0.1358237192744096
I0033,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,1980754.6538325285,0.1186847210692511
I0034,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,1899066.5634065848,0.1199128519920781
I0035,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,2104372.2815352986,0.0709401860535258
I0036,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1694656.1891447331,0.119902250345816
I0037,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2404259.6569970725,0.1165838834281415
I0038,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1507361.3297979904,0.118019644252643
I0039,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,1116833.6887762905,0.1153893579444749
I0040,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1891072.407075488,0.1222429624768461
I0041,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,1446167.395951825,0.1420207963251653
I0042,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,2446149.333678809,0.1028596182639642
I0043,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,2296338.859499993,0.0637795267520898
I0044,Credito_Prefixado,Ativo,Prefixada,USD,2.0,1198017.1339357093,0.1851037242879253
I0045,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,1819907.4542717908,0.0641316909596257
I0046,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,2034959.193150232,0.0954999199913183
