data,cooperativa,saldo_inicial,saldo_final,variacao_mensal
2020-01-31,Coop_01,32426853.54526178,29911584.31907067,-0.0775674772971811
2020-02-29,Coop_01,29911584.31907067,27804249.37601641,-0.0704521338814772
2020-03-31,Coop_01,27804249.37601641,24657479.96925303,-0.1131758446058875
2020-04-30,Coop_01,24657479.96925303,24885448.658246256,0.0092454171828384
2020-05-31,Coop_01,24885448.658246256,24317214.154195383,-0.0228340068067279
2020-06-30,Coop_01,24317214.154195383,24209106.81388742,-0.0044457123921537
2020-07-31,Coop_01,24209106.81388742,25094557.24599545,0.0365750970870226
2020-08-31,Coop_01,25094557.24599545,24793331.82480917,-0.0120036156937715
2020-09-30,Coop_01,24793331.82480917,25148302.551901232,0.0143171853464591
2020-10-31,Coop_01,25148302.551901232,25287964.6116222,0.0055535382331562
2020-11-30,Coop_01,25287964.6116222,24936248.385782517,-0.0139084434528999
2020-12-31,Coop_01,24936248.385782517,24626621.32064745,-0.0124167461097153
2021-01-31,Coop_01,24626621.32064745,25027203.619706783,0.0162662305089929
2021-02-28,Coop_01,25027203.619706783,24321659.60081847,-0.0281910847735604
2021-03-31,Coop_01,24321659.60081847,24852127.816581827,0.021810527096823
2021-04-30,Coop_01,24852127.816581827,24591049.66315289,-0.0105052635877213
2021-05-31,Coop_01,24591049.66315289,24848219.31112414,0.010457855662688
2021-06-30,Coop_01,24848219.31112414,26200923.81467987,0.0544386898158994
2021-07-31,Coop_01,26200923.81467987,26203891.813855022,0.0001132784170568
2021-08-31,Coop_01,26203891.813855022,27204701.03444884,0.0381931519067198
2021-09-30,Coop_01,27204701.03444884,25661619.107567515,-0.0567211499559339
2021-10-31,Coop_01,25661619.107567515,25393129.14477128,-0.0104627054774208
2021-11-30,Coop_01,25393129.14477128,25570096.4452188,0.0069691017376625
2021-12-31,Coop_01,25570096.4452188,27444808.307607617,0.073316573772226
2022-01-31,Coop_01,27444808.307607617,25726809.334852528,-0.0625983229140961
2022-02-28,Coop_01,25726809.334852528,25794539.143804964,0.0026326548337527
2022-03-31,Coop_01,25794539.143804964,27264417.994153425,0.0569841097820691
2022-04-30,Coop_01,27264417.994153425,26678895.1459086,-0.0214757141843404
2022-05-31,Coop_01,26678895.1459086,26640227.866062623,-0.0014493583648984
2022-06-30,Coop_01,26640227.866062623,27109385.30864676,0.0176108644769439
2022-07-31,Coop_01,27109385.30864676,27447108.59214506,0.0124577993802972
2022-08-31,Coop_01,27447108.59214506,29115946.773153946,0.0608019666409044
2022-09-30,Coop_01,29115946.773153946,29747663.339206472,0.0216965833525631
2022-10-31,Coop_01,29747663.339206472,23857756.310485188,-0.1979956194057963
2022-11-30,Coop_01,23857756.310485188,23382548.2302315,-0.0199183893937603
2022-12-31,Coop_01,23382548.2302315,23338114.098951668,-0.0019003117556872
2023-01-31,Coop_01,23338114.098951668,22531347.974954247,-0.0345686082678659
2023-02-28,Coop_01,22531347.974954247,23047832.022508424,0.0229229093673533
2023-03-31,Coop_01,23047832.022508424,22874841.12730538,-0.0075057339464336
2023-04-30,Coop_01,22874841.12730538,22474242.92153669,-0.0175126114992117
2023-05-31,Coop_01,22474242.92153669,23001332.337210048,0.0234530443367351
2023-06-30,Coop_01,23001332.337210048,22218595.7964359,-0.0340300522291001
2023-07-31,Coop_01,22218595.7964359,22951089.074961744,0.0329675774849526
2023-08-31,Coop_01,22951089.074961744,22704552.86902127,-0.0107418085971976
2023-09-30,Coop_01,22704552.86902127,23761867.01356848,0.0465683755432963
2023-10-31,Coop_01,23761867.01356848,23577811.981970623,-0.0077458152380348
2023-11-30,Coop_01,23577811.981970623,24240745.50963169,0.0281168383295274
2023-12-31,Coop_01,24240745.50963169,24538535.385890186,0.0122846830820518
2024-01-31,Coop_01,24538535.385890186,25324665.78401757,0.0320365655800069
2024-02-29,Coop_01,25324665.78401757,25574066.669138733,0.0098481412251669
2024-03-31,Coop_01,25574066.669138733,24238616.7979347,-0.0522189094320136
2024-04-30,Coop_01,24238616.7979347,25239860.09962959,0.0413077738734745
2024-05-31,Coop_01,25239860.09962959,25313840.595868614,0.0029310977139731
2024-06-30,Coop_01,25313840.595868614,26165222.58399505,0.0336330627074183
2024-07-31,Coop_01,26165222.58399505,26954329.764177244,0.0301586266904098
2024-08-31,Coop_01,26954329.764177244,26386526.650349293,-0.021065376835397
2024-09-30,Coop_01,26386526.650349293,25700006.24341176,-0.0260178391811354
2024-10-31,Coop_01,25700006.24341176,26443698.33783342,0.028937428550715
2024-11-30,Coop_01,26443698.33783342,26321694.622936387,-0.0046137160293679
2024-12-31,Coop_01,26321694.622936387,27342318.98422728,0.0387750247813274
2025-01-31,Coop_01,27342318.98422728,27335837.952325866,-0.0002370330002058
2025-02-28,Coop_01,27335837.952325866,28479004.714270145,0.04181934221069
2025-03-31,Coop_01,28479004.714270145,29071813.90660346,0.0208156569473185
2025-04-30,Coop_01,29071813.90660346,29539263.22998853,0.0160791247799951
2025-05-31,Coop_01,29539263.22998853,29329818.27559913,-0.0070903919559096
2025-06-30,Coop_01,29329818.27559913,29744394.27414566,0.0141349664921531
2025-07-31,Coop_01,29744394.27414566,31164684.491049383,0.0477498450233449
2025-08-31,Coop_01,31164684.491049383,31292536.32976338,0.0041024589467836
2025-09-30,Coop_01,31292536.32976338,32062054.39291662,0.0245911055289349
2025-10-31,Coop_01,32062054.39291662,32306450.694297347,0.0076226026687398
2025-11-30,Coop_01,32306450.694297347,32641182.40117741,0.0103611414960897
2025-12-31,Coop_01,32641182.40117741,34805925.26601257,0.0663193764928404
2026-01-31,Coop_01,34805925.26601257,36478717.21536864,0.0480605510863843
2026-02-28,Coop_01,36478717.21536864,36798968.744872965,0.0087791335318501
2026-03-31,Coop_01,36798968.744872965,37295971.682113096,0.0135058930777612
2026-04-30,Coop_01,37295971.682113096,36603554.52733262,-0.0185654676242838
2026-05-31,Coop_01,36603554.52733262,36601577.784608096,-5.400411927335839e-05
2026-06-30,Coop_01,36601577.784608096,37217542.90287287,0.0168289225642016
2026-07-31,Coop_01,37217542.90287287,38548869.33201455,0.0357714756349194
2020-01-31,Coop_02,47492208.96910919,45933321.521987565,-0.0328240669566578
2020-02-29,Coop_02,45933321.521987565,47779583.61725867,0.0401943955737519
2020-03-31,Coop_02,47779583.61725867,36497457.51629581,-0.2361285981757193
2020-04-30,Coop_02,36497457.51629581,38423554.84268826,0.0527734658101174
2020-05-31,Coop_02,38423554.84268826,40621949.4990904,0.0572147648858283
2020-06-30,Coop_02,40621949.4990904,41240668.27698624,0.0152311443819229
2020-07-31,Coop_02,41240668.27698624,42511201.55010399,0.0308077760666832
